Job title,Business Group,Job location,Country of work,Job category,Responsibilities,Link to where the specific job is posted.
WXG12-143 微信后台策略安全工程师（广州）,WXG,广州,中国,技术,"1. 负责微信业务安全的相关工作，包括恶意行为分析及相应的安全策略制定与打击
2. 负责微信安全风控系统的建设

注：广州深圳两地办公均可。",http://careers.tencent.com/jobdesc.html?postId=1320660677123121152
WXG02-内容挖掘算法高级工程师（视频号）（广州）,WXG,广州,中国,技术,主要负责文本、视频、多模态内容理解算法的研发和应用，KG与用户画像的结合，服务微信视频号内容画像和用户画像建设。,http://careers.tencent.com/jobdesc.html?postId=1300336349663993856
WXG02-微信专家数据分析师（广州）,WXG,广州,中国,技术,"1、与业务方合作，负责科学分析产品、运营、推荐等核心策略，为业务策略迭代提供决策依据；
2、科学制定业务的指标评估体系、监控及分析指标异动原因，并构建关键数据集以支持数据运营和探索性分析；
3、科学地进行A/B Testing，包括设计和执行实验，并根据实验结果提出优化的业务策略；
4、负责增长分析、因果推断、社交传播等专题，识别并量化归因业务问题或社会现象，以数据洞察来驱动微信生态商业模式发现、用户增长机会、产品体验优化等。",http://careers.tencent.com/jobdesc.html?postId=1293374765339254784
WXG02-121 微信图形图像应用客户端开发工程师（视频号）（北京）,WXG,北京,中国,技术,"负责微信场景下视觉特效、图形图像类应用的客户端开发，以及在视频号、视频通话、直播、特效开放平台等场景下的应用落地，包括但不限于图像美化、动效贴纸等业务。


",http://careers.tencent.com/jobdesc.html?postId=1328601446609854464
WXG02-微信专家数据分析师（深圳）,WXG,深圳,中国,技术,"1、与业务方合作，负责科学分析产品、运营、推荐等核心策略，为业务策略迭代提供决策依据；
2、科学制定业务的指标评估体系、监控及分析指标异动原因，并构建关键数据集以支持数据运营和探索性分析；
3、科学地进行A/B Testing，包括设计和执行实验，并根据实验结果提出优化的业务策略；
4、负责增长分析、因果推断、社交传播等专题，识别并量化归因业务问题或社会现象，以数据洞察来驱动微信生态商业模式发现、用户增长机会、产品体验优化等。",http://careers.tencent.com/jobdesc.html?postId=1293374764395536384
WXG02-113 微信后台运营开发工程师（平台运营)（广州）,WXG,广州,中国,技术,"1. 负责微信后台基础组件相关支撑平台的开发及维护；
2. 负责研发效能相关平台的建设，致力于提升基础研发效率； ",http://careers.tencent.com/jobdesc.html?postId=1275634544048873472
WXG02-133 微信支付运维工程师（深圳）,WXG,深圳,中国,技术,"负责社交支付与商业支付下各业务的运维工作；
保障系统稳定性，数据安全，工作重点为系统分析，优化，及自动化系统建设。",http://careers.tencent.com/jobdesc.html?postId=1255694899391504384
40833-研运大数据仓库开发(AIOps),PCG,深圳,中国,技术,负责研运大数据仓库建设；负责搭建成本模型、质量模型、以及PCG内平台、中台和业务的质量指标体系搭建；搭建数据仓库，输出数据报表，确保数据质量及数据处理的时效性。,http://careers.tencent.com/jobdesc.html?postId=1412958253528129536
25927-移动游戏高级安全工程师（成都）,IEG,成都,中国,技术,"负责移动游戏安全相关工具研发与技术支持；
负责移动游戏和应用APP资源破解与风险分析；
通过工具平台的研发支撑，提升部门的游戏品质、效率和深度；",http://careers.tencent.com/jobdesc.html?postId=1370254025882083328
18436-自然语言处理高级研究员,CDG,深圳,中国,技术,"1、 负责金融场景下的自然语言处理的研究和开发工作，包括建立金融场景的资讯内容理解、金融产品标签生成、金融智能助手；
2、构建金融场景下的知识图谱、舆情分析、事件挖掘能力，为资产推荐、数据营销提供精细化的内容理解能力",http://careers.tencent.com/jobdesc.html?postId=1402930523235426304
36242-数据开发工程师（深圳）,CDG,深圳,中国,技术,"1、负责风险数据集市开发与实施，包括数据模型的设计、ETL实施、性能优化以及相关技术问题的解决；
2、负责数据治理建设，构建全链路质量监控体系，协同上下游完成治理目标；
3、负责设计并实现大规模知识图谱的存储和检索。",http://careers.tencent.com/jobdesc.html?postId=1422401488839254016
40836-Data Scientist(数据科学家),PCG,北京,中国,技术,"1.利用海量结构/非结构化数据挖掘用户行为，通过数据科学的方法积极寻找提升用户体验的增长点；
2.与工程师及其他数据科学家一起设计构建创新的实验平台，以提升研发效能，推动数据驱动文化；
3.研究，测试并落地新的实验方法。部署统计、机器学习模型帮助决策；
4.能把复杂的概念及数据洞察通过清晰有效的方式在跨团队合作中沟通。",http://careers.tencent.com/jobdesc.html?postId=1327172377838100480
25927-游戏测试经理（深圳总部）,IEG,深圳,中国,技术,负责游戏质量把控，持续优化、提高团队的测试效率和输出质量，主动发现问题并优化改善，做好过程及结果的积极反馈和团队的反思提升工作；,http://careers.tencent.com/jobdesc.html?postId=1424573028825571328
WXG10-企业微信运营开发工程师,WXG,广州,中国,技术,负责运维平台建设，包括海量的数据存储、监控、统一的业务发布、运营门户等开发工作。,http://careers.tencent.com/jobdesc.html?postId=1294248935786815488
